slot_id,scene_id,artist_id,artist_name,main_genre,appeal_score,cost,is_headliner
0,0,50,Bettye LaVette,chill,69.99760474951006,39778,0
0,1,69,Rvfv,latino,69.48652417244448,38785,0
0,2,148,Gminxr,hip-hop,67.55012342605978,35854,0
1,0,108,Mother Mother,indie,68.39832969203093,39558,0
1,1,149,Xzibit,hardcore,67.5042160398815,34288,0
1,2,23,Jhay Cortez,latin,71.8380484629481,44172,0
2,0,95,System Of A Down,metal,68.64560729250083,38973,0
2,1,138,Sleepy Hallow,r-n-b,67.77634995467187,39061,0
2,2,124,Gaullin,electronic,68.04207884122206,35744,0
3,0,70,Beach Bunny,indie-pop,69.42747274141945,40186,0
3,1,162,Little Sis Nora,swedish,67.26271552742101,35243,0
3,2,144,Schillist,brazil,67.62694561044829,35377,0
4,0,168,Jaani,pop-film,67.1448308133751,35782,0
4,1,9,LE SSERAFIM,k-pop,74.67415757470638,40859,1
4,2,188,Kx5,edm,66.9610253848149,34967,0
5,0,118,Beyoncé,dance,68.13680141818223,38077,0
5,1,104,Rocco Hunt,spanish,68.44862989223788,35427,0
5,2,132,Age Of Love,trance,67.8543402679877,32608,0
