iteration,best_score
0,0.7722785095233339
1,0.7779374752555162
2,0.7779374752555162
3,0.7850664956442179
4,0.7864710915139287
5,0.7918055968248048
6,0.7918055968248048
7,0.8107886213478039
8,0.8150157257324429
9,0.8150157257324429
10,0.8150157257324429
11,0.8326073854891994
12,0.8465522892765718
13,0.8465522892765718
14,0.8561948971229008
15,0.8561948971229008
16,0.8561948971229008
17,0.8561948971229008
18,0.864612216094387
19,0.864612216094387
20,0.864612216094387
21,0.864612216094387
22,0.864612216094387
23,0.864612216094387
24,0.864612216094387
25,0.864612216094387
26,0.8675084792451949
27,0.8675084792451949
28,0.8675084792451949
29,0.8709575745095519
